'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',0.376,-1.353,-1.73,0.488,1.052,-1.542,0.144,-0.399,-0.279,0.018,0.562,0.532,0.329,-1.026,-0.069
'0:00.001',0.381,-1.347,-1.728,0.482,1.054,-1.536,0.138,-0.389,-0.269,0.028,0.567,0.535,0.334,-1.02,-0.07
'0:00.002',0.388,-1.343,-1.73,0.477,1.059,-1.536,0.135,-0.382,-0.259,0.036,0.569,0.535,0.336,-1.018,-0.073
'0:00.003',0.386,-1.341,-1.727,0.477,1.056,-1.534,0.137,-0.373,-0.252,0.043,0.572,0.536,0.336,-1.016,-0.076
'0:00.004',0.388,-1.339,-1.726,0.475,1.057,-1.532,0.139,-0.369,-0.247,0.046,0.572,0.534,0.336,-1.012,-0.079
'0:00.005',0.391,-1.339,-1.73,0.474,1.06,-1.534,0.139,-0.364,-0.242,0.05,0.574,0.538,0.34,-1.014,-0.083
'0:00.006',0.393,-1.339,-1.732,0.473,1.062,-1.535,0.141,-0.357,-0.234,0.056,0.578,0.543,0.343,-1.014,-0.086
'0:00.007',0.392,-1.337,-1.728,0.472,1.06,-1.532,0.143,-0.35,-0.227,0.062,0.581,0.546,0.346,-1.011,-0.087
'0:00.008',0.39,-1.337,-1.726,0.473,1.058,-1.531,0.145,-0.345,-0.222,0.068,0.582,0.547,0.347,-1.013,-0.09
'0:00.009',0.391,-1.339,-1.73,0.474,1.06,-1.534,0.146,-0.341,-0.218,0.071,0.582,0.545,0.346,-1.014,-0.093
'0:00.010',0.392,-1.341,-1.732,0.474,1.062,-1.536,0.147,-0.336,-0.214,0.076,0.583,0.542,0.346,-1.015,-0.096
'0:00.011',0.391,-1.341,-1.731,0.475,1.06,-1.536,0.148,-0.332,-0.208,0.08,0.584,0.541,0.345,-1.014,-0.1
'0:00.012',0.392,-1.34,-1.732,0.474,1.062,-1.536,0.148,-0.328,-0.204,0.082,0.582,0.538,0.344,-1.012,-0.101
'0:00.013',0.395,-1.337,-1.732,0.471,1.063,-1.534,0.149,-0.323,-0.2,0.085,0.582,0.535,0.344,-1.011,-0.102
'0:00.014',0.398,-1.337,-1.734,0.469,1.066,-1.536,0.151,-0.319,-0.194,0.089,0.585,0.536,0.345,-1.014,-0.104
'0:00.015',0.401,-1.335,-1.736,0.468,1.068,-1.535,0.151,-0.314,-0.191,0.092,0.586,0.534,0.345,-1.014,-0.106
'0:00.016',0.396,-1.336,-1.732,0.47,1.065,-1.534,0.153,-0.31,-0.186,0.096,0.588,0.535,0.345,-1.012,-0.108
'0:00.017',0.394,-1.339,-1.732,0.472,1.063,-1.536,0.153,-0.308,-0.184,0.099,0.587,0.535,0.346,-1.013,-0.108
'0:00.018',0.397,-1.338,-1.734,0.47,1.065,-1.536,0.153,-0.305,-0.182,0.101,0.586,0.532,0.347,-1.014,-0.11
'0:00.019',0.395,-1.339,-1.734,0.471,1.065,-1.536,0.154,-0.301,-0.178,0.104,0.59,0.539,0.352,-1.012,-0.111
'0:00.020',0.397,-1.337,-1.734,0.469,1.065,-1.535,0.154,-0.297,-0.173,0.108,0.592,0.544,0.356,-1.008,-0.111
'0:00.021',0.404,-1.336,-1.74,0.466,1.071,-1.538,0.153,-0.295,-0.171,0.11,0.592,0.539,0.355,-1.008,-0.113
'0:00.022',0.402,-1.338,-1.74,0.468,1.071,-1.539,0.151,-0.293,-0.17,0.112,0.592,0.537,0.354,-1.011,-0.114
'0:00.023',0.401,-1.335,-1.736,0.467,1.068,-1.535,0.153,-0.29,-0.167,0.116,0.594,0.536,0.354,-1.01,-0.116
'0:00.024',0.412,-1.325,-1.738,0.456,1.075,-1.531,0.157,-0.284,-0.161,0.119,0.597,0.538,0.353,-1.01,-0.116
'0:00.025',0.419,-1.319,-1.738,0.45,1.079,-1.528,0.158,-0.28,-0.157,0.123,0.599,0.542,0.353,-1.008,-0.117
'0:00.026',0.416,-1.322,-1.738,0.453,1.077,-1.53,0.156,-0.281,-0.157,0.123,0.598,0.54,0.354,-1.008,-0.118
'0:00.027',0.415,-1.323,-1.738,0.454,1.077,-1.53,0.155,-0.278,-0.154,0.126,0.6,0.54,0.356,-1.009,-0.118
'0:00.028',0.414,-1.322,-1.737,0.454,1.076,-1.53,0.156,-0.275,-0.15,0.13,0.603,0.541,0.357,-1.008,-0.119
'0:00.029',0.415,-1.321,-1.737,0.453,1.076,-1.529,0.155,-0.272,-0.147,0.133,0.603,0.541,0.358,-1.007,-0.12
