'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',0.88,0.204,-0.675,-0.542,0.777,-0.235,-0.92,0.589,-0.818,0.07,-0.629,0.224,-0.009,0.043,0.234
'0:00.001',0.88,0.203,-0.678,-0.541,0.779,-0.238,-0.921,0.588,-0.819,0.068,-0.632,0.221,-0.007,0.043,0.235
'0:00.002',0.875,0.2,-0.675,-0.538,0.775,-0.238,-0.919,0.588,-0.819,0.067,-0.632,0.22,-0.01,0.048,0.236
'0:00.003',0.882,0.203,-0.679,-0.543,0.78,-0.238,-0.921,0.589,-0.82,0.068,-0.631,0.221,-0.007,0.048,0.235
'0:00.004',0.882,0.203,-0.679,-0.543,0.78,-0.238,-0.922,0.587,-0.82,0.067,-0.632,0.221,-0.007,0.048,0.236
'0:00.005',0.88,0.202,-0.677,-0.541,0.778,-0.237,-0.922,0.587,-0.821,0.067,-0.635,0.218,-0.011,0.049,0.236
'0:00.006',0.882,0.203,-0.679,-0.542,0.781,-0.238,-0.923,0.589,-0.821,0.067,-0.635,0.219,-0.009,0.047,0.236
'0:00.007',0.885,0.205,-0.68,-0.545,0.783,-0.238,-0.924,0.589,-0.819,0.068,-0.633,0.22,-0.007,0.045,0.235
'0:00.008',0.883,0.207,-0.676,-0.546,0.779,-0.234,-0.923,0.589,-0.82,0.068,-0.634,0.22,-0.007,0.045,0.235
'0:00.009',0.883,0.207,-0.675,-0.545,0.778,-0.234,-0.923,0.59,-0.82,0.068,-0.634,0.221,-0.009,0.046,0.236
'0:00.010',0.884,0.208,-0.675,-0.547,0.779,-0.234,-0.923,0.589,-0.82,0.066,-0.636,0.22,-0.009,0.047,0.236
'0:00.011',0.887,0.212,-0.675,-0.55,0.781,-0.231,-0.924,0.589,-0.822,0.066,-0.635,0.22,-0.009,0.05,0.237
'0:00.012',0.887,0.214,-0.673,-0.551,0.78,-0.23,-0.924,0.588,-0.821,0.065,-0.635,0.22,-0.009,0.05,0.236
'0:00.013',0.882,0.211,-0.671,-0.547,0.777,-0.23,-0.922,0.588,-0.823,0.062,-0.638,0.218,-0.01,0.046,0.236
'0:00.014',0.88,0.209,-0.671,-0.545,0.776,-0.232,-0.922,0.589,-0.823,0.061,-0.638,0.217,-0.011,0.048,0.236
'0:00.015',0.88,0.208,-0.671,-0.544,0.775,-0.232,-0.922,0.59,-0.823,0.061,-0.638,0.217,-0.009,0.05,0.236
'0:00.016',0.886,0.21,-0.676,-0.549,0.781,-0.233,-0.923,0.589,-0.824,0.063,-0.638,0.221,-0.006,0.05,0.237
'0:00.017',0.888,0.209,-0.678,-0.549,0.783,-0.234,-0.922,0.59,-0.823,0.064,-0.638,0.221,-0.005,0.05,0.237
'0:00.018',0.882,0.208,-0.673,-0.545,0.777,-0.233,-0.921,0.589,-0.823,0.066,-0.639,0.217,-0.009,0.047,0.237
'0:00.019',0.88,0.208,-0.671,-0.544,0.776,-0.232,-0.922,0.586,-0.825,0.063,-0.64,0.218,-0.009,0.047,0.236
'0:00.020',0.878,0.207,-0.67,-0.543,0.774,-0.232,-0.92,0.587,-0.824,0.065,-0.637,0.22,-0.007,0.048,0.237
'0:00.021',0.877,0.208,-0.669,-0.543,0.773,-0.231,-0.92,0.588,-0.824,0.067,-0.636,0.221,-0.006,0.052,0.236
'0:00.022',0.879,0.206,-0.672,-0.543,0.775,-0.233,-0.921,0.587,-0.824,0.067,-0.636,0.22,-0.006,0.054,0.237
'0:00.023',0.878,0.207,-0.671,-0.543,0.774,-0.233,-0.921,0.587,-0.824,0.07,-0.633,0.22,-0.005,0.051,0.235
'0:00.024',0.879,0.208,-0.67,-0.544,0.774,-0.231,-0.921,0.587,-0.823,0.07,-0.633,0.219,-0.004,0.051,0.235
'0:00.025',0.88,0.208,-0.672,-0.544,0.776,-0.232,-0.922,0.587,-0.823,0.069,-0.634,0.221,-0.003,0.051,0.237
'0:00.026',0.883,0.21,-0.673,-0.546,0.778,-0.232,-0.923,0.586,-0.826,0.067,-0.634,0.222,-0.003,0.051,0.238
'0:00.027',0.88,0.209,-0.671,-0.545,0.776,-0.232,-0.923,0.587,-0.825,0.067,-0.636,0.222,-0.004,0.051,0.238
'0:00.028',0.878,0.208,-0.67,-0.543,0.774,-0.232,-0.922,0.587,-0.825,0.066,-0.635,0.222,-0.004,0.053,0.237
'0:00.029',0.881,0.206,-0.675,-0.544,0.778,-0.235,-0.921,0.587,-0.824,0.068,-0.632,0.225,-0.001,0.052,0.238
'0:00.030',0.875,0.201,-0.675,-0.538,0.775,-0.237,-0.919,0.588,-0.822,0.068,-0.632,0.225,-0.003,0.045,0.238
'0:00.031',0.871,0.197,-0.674,-0.534,0.772,-0.238,-0.918,0.588,-0.823,0.067,-0.634,0.224,-0.004,0.042,0.238
'0:00.032',0.874,0.199,-0.675,-0.536,0.774,-0.238,-0.919,0.589,-0.82,0.067,-0.632,0.227,0,0.043,0.239
