'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
0,0.202,-3.209,-3.412,1.504,1.806,-3.311,0.157,1.512,1,-0.387,-0.043,0.046,0.572,-3.103,0.53
0.001,0.206,-3.203,-3.409,1.498,1.808,-3.306,0.146,1.509,0.994,-0.393,-0.044,0.043,0.576,-3.111,0.53
0.002,0.203,-3.212,-3.414,1.504,1.808,-3.313,0.142,1.511,0.999,-0.39,-0.044,0.04,0.578,-3.119,0.532
0.003,0.207,-3.198,-3.406,1.496,1.806,-3.302,0.141,1.51,1.004,-0.378,-0.032,0.053,0.586,-3.104,0.524
0.004,0.201,-3.197,-3.397,1.498,1.799,-3.297,0.148,1.516,1.012,-0.37,-0.024,0.058,0.592,-3.103,0.518
0.005,0.192,-3.208,-3.4,1.508,1.796,-3.304,0.141,1.513,1.006,-0.376,-0.028,0.056,0.596,-3.112,0.528
0.006,0.208,-3.194,-3.402,1.493,1.805,-3.298,0.138,1.515,1.011,-0.37,-0.018,0.064,0.602,-3.108,0.522
0.007,0.196,-3.201,-3.397,1.503,1.796,-3.3,0.13,1.511,1.012,-0.364,-0.015,0.068,0.606,-3.107,0.52
0.008,0.184,-3.206,-3.39,1.51,1.788,-3.298,0.127,1.512,1.01,-0.363,-0.014,0.07,0.606,-3.092,0.523
0.009,0.208,-3.175,-3.384,1.483,1.796,-3.28,0.147,1.53,1.028,-0.348,-0.001,0.083,0.609,-3.082,0.513
0.01,0.216,-3.167,-3.384,1.476,1.8,-3.276,0.144,1.524,1.03,-0.343,0.005,0.087,0.616,-3.088,0.511
0.011,0.214,-3.176,-3.39,1.48,1.802,-3.284,0.134,1.522,1.028,-0.343,0.007,0.087,0.621,-3.098,0.512
0.012,0.217,-3.172,-3.389,1.478,1.803,-3.281,0.131,1.523,1.032,-0.335,0.015,0.096,0.63,-3.095,0.508
0.013,0.221,-3.165,-3.386,1.472,1.804,-3.276,0.129,1.519,1.036,-0.334,0.018,0.1,0.633,-3.088,0.505
0.014,0.225,-3.163,-3.387,1.469,1.806,-3.275,0.132,1.526,1.04,-0.332,0.019,0.101,0.633,-3.085,0.507
0.015,0.233,-3.149,-3.381,1.458,1.807,-3.265,0.127,1.526,1.041,-0.322,0.031,0.114,0.646,-3.073,0.505
0.016,0.237,-3.148,-3.385,1.456,1.811,-3.267,0.123,1.526,1.044,-0.321,0.031,0.111,0.647,-3.076,0.508
0.017,0.243,-3.15,-3.393,1.453,1.819,-3.272,0.123,1.526,1.048,-0.317,0.036,0.114,0.652,-3.074,0.508
0.018,0.238,-3.147,-3.386,1.454,1.812,-3.267,0.121,1.53,1.052,-0.31,0.046,0.124,0.661,-3.068,0.504
0.019,0.234,-3.149,-3.383,1.457,1.809,-3.266,0.123,1.535,1.054,-0.311,0.042,0.122,0.661,-3.075,0.504
0.02,0.241,-3.142,-3.384,1.45,1.812,-3.263,0.119,1.532,1.053,-0.31,0.045,0.124,0.664,-3.076,0.501
0.021,0.242,-3.139,-3.381,1.448,1.812,-3.26,0.115,1.53,1.056,-0.307,0.051,0.13,0.668,-3.075,0.499
0.022,0.249,-3.13,-3.38,1.44,1.815,-3.255,0.114,1.532,1.06,-0.298,0.061,0.138,0.676,-3.066,0.494
0.023,0.247,-3.132,-3.38,1.442,1.813,-3.256,0.111,1.53,1.057,-0.302,0.06,0.137,0.681,-3.066,0.498
0.024,0.254,-3.134,-3.387,1.44,1.821,-3.26,0.107,1.527,1.056,-0.301,0.061,0.139,0.684,-3.067,0.5
0.025,0.259,-3.13,-3.389,1.435,1.824,-3.26,0.105,1.526,1.059,-0.295,0.064,0.141,0.683,-3.061,0.493
0.026,0.26,-3.128,-3.388,1.435,1.823,-3.259,0.103,1.531,1.063,-0.293,0.068,0.145,0.684,-3.064,0.492
0.027,0.261,-3.126,-3.386,1.433,1.823,-3.256,0.106,1.531,1.065,-0.285,0.074,0.151,0.689,-3.057,0.492
0.028,0.249,-3.126,-3.376,1.438,1.812,-3.251,0.107,1.524,1.065,-0.285,0.073,0.151,0.688,-3.054,0.489
0.029,0.248,-3.129,-3.377,1.44,1.813,-3.253,0.1,1.52,1.06,-0.29,0.07,0.15,0.686,-3.064,0.493
0.03,0.257,-3.127,-3.384,1.435,1.821,-3.255,0.098,1.518,1.058,-0.289,0.072,0.153,0.693,-3.062,0.494
0.031,0.262,-3.112,-3.374,1.425,1.817,-3.243,0.1,1.526,1.069,-0.277,0.084,0.164,0.7,-3.055,0.483
0.032,0.277,-3.1,-3.377,1.411,1.827,-3.239,0.1,1.535,1.077,-0.268,0.092,0.173,0.707,-3.053,0.478
0.033,0.283,-3.101,-3.384,1.409,1.833,-3.243,0.099,1.537,1.083,-0.262,0.096,0.176,0.713,-3.046,0.482
0.034,0.27,-3.106,-3.376,1.419,1.823,-3.24,0.092,1.528,1.079,-0.266,0.095,0.173,0.712,-3.044,0.483
0.035,0.269,-3.11,-3.378,1.421,1.823,-3.244,0.096,1.526,1.075,-0.267,0.092,0.173,0.713,-3.052,0.485
0.036,0.268,-3.111,-3.379,1.422,1.823,-3.245,0.098,1.532,1.077,-0.266,0.096,0.174,0.714,-3.051,0.483
0.037,0.273,-3.106,-3.378,1.417,1.826,-3.242,0.092,1.532,1.08,-0.264,0.101,0.18,0.718,-3.05,0.48
0.038,0.275,-3.108,-3.384,1.417,1.829,-3.246,0.084,1.524,1.076,-0.263,0.101,0.181,0.721,-3.046,0.487
