'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',-5.388,-5.283,0.104,5.335,-2.746,-2.589,-0.764,-1.454,-1.043,-0.515,-0.453,-1.718,-0.503,-0.287,-0.509
'0:00.001',-5.389,-5.284,0.104,5.337,-2.747,-2.589,-0.764,-1.454,-1.044,-0.516,-0.452,-1.718,-0.503,-0.286,-0.508
'0:00.002',-5.391,-5.284,0.106,5.337,-2.748,-2.588,-0.765,-1.454,-1.044,-0.515,-0.452,-1.718,-0.503,-0.287,-0.508
'0:00.003',-5.39,-5.284,0.105,5.337,-2.748,-2.589,-0.764,-1.456,-1.044,-0.515,-0.452,-1.718,-0.502,-0.291,-0.507
'0:00.004',-5.391,-5.285,0.104,5.338,-2.748,-2.59,-0.765,-1.456,-1.045,-0.517,-0.452,-1.719,-0.502,-0.291,-0.508
'0:00.005',-5.393,-5.287,0.105,5.34,-2.748,-2.591,-0.766,-1.457,-1.044,-0.516,-0.453,-1.719,-0.502,-0.288,-0.508
'0:00.006',-5.392,-5.285,0.106,5.338,-2.749,-2.59,-0.767,-1.456,-1.044,-0.515,-0.452,-1.718,-0.502,-0.29,-0.508
'0:00.007',-5.391,-5.286,0.104,5.338,-2.748,-2.59,-0.767,-1.456,-1.042,-0.515,-0.451,-1.717,-0.502,-0.29,-0.508
'0:00.008',-5.393,-5.287,0.105,5.34,-2.749,-2.591,-0.766,-1.456,-1.042,-0.515,-0.45,-1.716,-0.502,-0.291,-0.509
'0:00.009',-5.394,-5.287,0.107,5.34,-2.751,-2.59,-0.765,-1.456,-1.044,-0.516,-0.45,-1.718,-0.503,-0.291,-0.509
'0:00.010',-5.392,-5.287,0.105,5.339,-2.748,-2.591,-0.766,-1.458,-1.044,-0.516,-0.45,-1.718,-0.502,-0.291,-0.509
'0:00.011',-5.391,-5.285,0.106,5.338,-2.748,-2.59,-0.765,-1.456,-1.043,-0.515,-0.45,-1.718,-0.502,-0.29,-0.51
'0:00.012',-5.396,-5.29,0.105,5.343,-2.751,-2.592,-0.764,-1.456,-1.044,-0.516,-0.451,-1.72,-0.503,-0.288,-0.51
