'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',1.157,2.124,0.967,-1.641,0.095,1.546,-0.418,-0.001,-0.015,0.19,0.228,-0.032,0.517,0.794,-0.304
'0:00.001',1.163,2.133,0.971,-1.648,0.096,1.552,-0.424,-0.006,-0.031,0.174,0.213,-0.043,0.506,0.805,-0.3
'0:00.002',1.161,2.125,0.964,-1.643,0.098,1.545,-0.436,-0.014,-0.049,0.158,0.201,-0.051,0.501,0.803,-0.298
'0:00.003',1.165,2.115,0.95,-1.64,0.107,1.532,-0.433,-0.022,-0.056,0.152,0.199,-0.051,0.499,0.787,-0.297
'0:00.004',1.169,2.115,0.946,-1.642,0.112,1.53,-0.43,-0.038,-0.07,0.146,0.193,-0.057,0.488,0.789,-0.294
'0:00.005',1.161,2.117,0.956,-1.639,0.102,1.537,-0.434,-0.062,-0.082,0.142,0.196,-0.052,0.489,0.792,-0.288
'0:00.006',1.154,2.114,0.961,-1.634,0.097,1.538,-0.442,-0.083,-0.091,0.139,0.196,-0.052,0.488,0.787,-0.281
'0:00.007',1.151,2.108,0.958,-1.63,0.097,1.534,-0.452,-0.102,-0.106,0.128,0.185,-0.065,0.478,0.779,-0.272
'0:00.008',1.149,2.104,0.956,-1.627,0.096,1.53,-0.454,-0.114,-0.114,0.123,0.18,-0.069,0.476,0.768,-0.267
'0:00.009',1.147,2.096,0.95,-1.621,0.098,1.524,-0.456,-0.126,-0.127,0.114,0.17,-0.075,0.471,0.764,-0.265
'0:00.010',1.145,2.089,0.945,-1.617,0.1,1.517,-0.467,-0.141,-0.144,0.103,0.162,-0.083,0.463,0.764,-0.259
'0:00.011',1.141,2.083,0.943,-1.611,0.099,1.512,-0.477,-0.147,-0.154,0.096,0.157,-0.086,0.46,0.756,-0.252
'0:00.012',1.133,2.08,0.947,-1.607,0.093,1.514,-0.48,-0.138,-0.148,0.095,0.154,-0.092,0.454,0.758,-0.249
'0:00.013',1.134,2.09,0.956,-1.611,0.088,1.523,-0.485,-0.117,-0.138,0.1,0.15,-0.1,0.449,0.767,-0.255
'0:00.014',1.142,2.103,0.962,-1.623,0.09,1.532,-0.482,-0.12,-0.142,0.092,0.144,-0.103,0.447,0.771,-0.255
'0:00.015',1.125,2.094,0.969,-1.609,0.078,1.532,-0.482,-0.135,-0.15,0.076,0.131,-0.114,0.435,0.775,-0.253
'0:00.016',1.11,2.082,0.972,-1.596,0.069,1.528,-0.484,-0.142,-0.153,0.07,0.122,-0.121,0.423,0.773,-0.254
'0:00.017',1.123,2.079,0.956,-1.601,0.084,1.518,-0.481,-0.158,-0.162,0.062,0.117,-0.125,0.42,0.759,-0.247
'0:00.018',1.117,2.071,0.954,-1.595,0.082,1.512,-0.472,-0.168,-0.167,0.059,0.111,-0.131,0.415,0.746,-0.245
'0:00.019',1.095,2.066,0.971,-1.581,0.062,1.519,-0.465,-0.179,-0.168,0.059,0.114,-0.127,0.413,0.751,-0.248
