'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',-1.218,-6.116,-4.897,3.667,1.839,-5.506,2.82,2.573,2.682,2.251,2.213,2.062,0.254,-3.163,-0.213
'0:00.001',-1.216,-6.111,-4.894,3.663,1.839,-5.502,2.822,2.582,2.692,2.26,2.221,2.066,0.257,-3.159,-0.216
'0:00.002',-1.203,-6.101,-4.897,3.651,1.847,-5.498,2.821,2.587,2.701,2.269,2.229,2.07,0.263,-3.164,-0.219
'0:00.003',-1.208,-6.103,-4.894,3.655,1.843,-5.498,2.825,2.593,2.709,2.277,2.235,2.071,0.263,-3.163,-0.226
'0:00.004',-1.202,-6.101,-4.899,3.651,1.848,-5.5,2.826,2.598,2.716,2.284,2.239,2.075,0.267,-3.159,-0.224
'0:00.005',-1.196,-6.098,-4.901,3.647,1.852,-5.5,2.825,2.601,2.725,2.291,2.245,2.081,0.273,-3.159,-0.225
'0:00.006',-1.198,-6.096,-4.897,3.646,1.849,-5.497,2.825,2.606,2.732,2.297,2.25,2.082,0.275,-3.156,-0.231
'0:00.007',-1.194,-6.098,-4.903,3.645,1.855,-5.5,2.828,2.612,2.741,2.307,2.255,2.082,0.278,-3.16,-0.232
'0:00.008',-1.194,-6.098,-4.904,3.646,1.855,-5.501,2.829,2.619,2.751,2.314,2.26,2.087,0.281,-3.168,-0.237
'0:00.009',-1.19,-6.094,-4.904,3.642,1.857,-5.498,2.829,2.626,2.76,2.322,2.264,2.09,0.286,-3.163,-0.244
'0:00.010',-1.187,-6.09,-4.903,3.638,1.858,-5.496,2.831,2.631,2.768,2.33,2.27,2.092,0.289,-3.149,-0.247
'0:00.011',-1.183,-6.088,-4.904,3.635,1.861,-5.496,2.826,2.629,2.77,2.334,2.272,2.092,0.292,-3.148,-0.246
'0:00.012',-1.171,-6.083,-4.912,3.627,1.87,-5.497,2.819,2.624,2.771,2.336,2.273,2.092,0.297,-3.155,-0.246
'0:00.013',-1.163,-6.077,-4.914,3.62,1.875,-5.495,2.82,2.628,2.776,2.341,2.276,2.096,0.302,-3.154,-0.248
'0:00.014',-1.165,-6.078,-4.912,3.622,1.873,-5.495,2.823,2.631,2.781,2.348,2.28,2.099,0.303,-3.15,-0.252
'0:00.015',-1.167,-6.08,-4.912,3.624,1.872,-5.496,2.826,2.636,2.79,2.353,2.287,2.102,0.307,-3.153,-0.254
'0:00.016',-1.163,-6.072,-4.909,3.617,1.873,-5.49,2.829,2.649,2.801,2.367,2.297,2.11,0.314,-3.143,-0.253
'0:00.017',-1.16,-6.072,-4.912,3.616,1.875,-5.492,2.829,2.651,2.801,2.369,2.3,2.111,0.317,-3.14,-0.254
'0:00.018',-1.157,-6.069,-4.912,3.613,1.877,-5.49,2.829,2.655,2.804,2.37,2.3,2.112,0.321,-3.152,-0.265
'0:00.019',-1.144,-6.055,-4.91,3.599,1.883,-5.482,2.829,2.659,2.813,2.38,2.308,2.118,0.328,-3.146,-0.268
'0:00.020',-1.141,-6.058,-4.917,3.599,1.887,-5.487,2.833,2.664,2.818,2.388,2.314,2.123,0.333,-3.142,-0.264
'0:00.021',-1.143,-6.059,-4.915,3.601,1.885,-5.487,2.834,2.67,2.826,2.396,2.317,2.124,0.336,-3.146,-0.265
