'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',-0.322,-3.205,-2.883,1.764,1.28,-3.045,0.274,0.334,0.541,-0.366,0.543,0.132,-0.306,-1.175,0.244
'0:00.001',-0.326,-3.2,-2.875,1.763,1.274,-3.038,0.273,0.328,0.538,-0.367,0.54,0.129,-0.309,-1.165,0.242
'0:00.002',-0.324,-3.192,-2.869,1.758,1.272,-3.031,0.274,0.331,0.543,-0.361,0.543,0.133,-0.309,-1.161,0.241
'0:00.003',-0.324,-3.19,-2.866,1.757,1.271,-3.028,0.276,0.331,0.542,-0.361,0.543,0.133,-0.309,-1.161,0.242
'0:00.004',-0.322,-3.186,-2.864,1.754,1.271,-3.025,0.275,0.329,0.544,-0.359,0.544,0.133,-0.307,-1.153,0.242
'0:00.005',-0.319,-3.182,-2.862,1.75,1.272,-3.022,0.279,0.334,0.547,-0.354,0.545,0.133,-0.307,-1.154,0.24
'0:00.006',-0.316,-3.175,-2.86,1.746,1.272,-3.018,0.281,0.336,0.55,-0.352,0.545,0.132,-0.306,-1.15,0.237
'0:00.007',-0.313,-3.171,-2.858,1.742,1.272,-3.015,0.282,0.337,0.551,-0.354,0.544,0.132,-0.308,-1.147,0.236
'0:00.008',-0.315,-3.17,-2.855,1.742,1.27,-3.013,0.282,0.336,0.551,-0.353,0.546,0.134,-0.307,-1.148,0.236
'0:00.009',-0.316,-3.168,-2.852,1.742,1.268,-3.01,0.283,0.338,0.552,-0.349,0.548,0.134,-0.306,-1.146,0.235
'0:00.010',-0.315,-3.163,-2.849,1.739,1.267,-3.007,0.287,0.338,0.554,-0.346,0.549,0.135,-0.305,-1.145,0.236
'0:00.011',-0.315,-3.16,-2.846,1.738,1.266,-3.003,0.286,0.337,0.556,-0.344,0.55,0.137,-0.302,-1.143,0.237
'0:00.012',-0.311,-3.162,-2.85,1.736,1.27,-3.006,0.281,0.336,0.554,-0.346,0.549,0.135,-0.299,-1.143,0.239
'0:00.013',-0.309,-3.16,-2.85,1.735,1.27,-3.006,0.277,0.335,0.554,-0.346,0.548,0.136,-0.299,-1.141,0.242
'0:00.014',-0.311,-3.159,-2.848,1.735,1.268,-3.003,0.276,0.335,0.555,-0.343,0.549,0.138,-0.3,-1.14,0.242
'0:00.015',-0.31,-3.158,-2.848,1.734,1.268,-3.003,0.274,0.334,0.554,-0.343,0.547,0.138,-0.297,-1.139,0.244
'0:00.016',-0.311,-3.155,-2.845,1.733,1.266,-3.001,0.274,0.332,0.554,-0.343,0.548,0.139,-0.295,-1.141,0.245
'0:00.017',-0.311,-3.154,-2.841,1.732,1.265,-2.998,0.274,0.333,0.556,-0.339,0.55,0.139,-0.295,-1.139,0.245
'0:00.018',-0.307,-3.149,-2.841,1.728,1.267,-2.995,0.27,0.331,0.555,-0.338,0.551,0.139,-0.295,-1.133,0.247
'0:00.019',-0.304,-3.148,-2.845,1.726,1.27,-2.997,0.268,0.332,0.555,-0.338,0.551,0.14,-0.293,-1.135,0.249
'0:00.020',-0.306,-3.149,-2.843,1.728,1.268,-2.996,0.269,0.337,0.558,-0.334,0.552,0.14,-0.294,-1.136,0.243
'0:00.021',-0.306,-3.151,-2.844,1.728,1.268,-2.998,0.277,0.342,0.558,-0.336,0.552,0.14,-0.297,-1.139,0.239
'0:00.022',-0.304,-3.155,-2.851,1.73,1.273,-3.003,0.278,0.343,0.559,-0.336,0.55,0.138,-0.293,-1.147,0.241
